JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460079.735370,11.291,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.072,Z,16.380,15.759,,PNV J17224490-4137160,VVS,STD,,,,
2460079.735584,11.869,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.072,Z,16.760,16.387,,PNV J17224490-4137160,VVS,STD,,,,
2460079.735758,9.544,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.072,Z,17.467,16.733,,PNV J17224490-4137160,VVS,STD,,,,
2460079.735995,11.296,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.071,Z,16.381,15.754,,PNV J17224490-4137160,VVS,STD,,,,
2460079.736209,11.866,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.071,Z,16.764,16.389,,PNV J17224490-4137160,VVS,STD,,,,
2460079.736383,9.538,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.071,Z,17.468,16.736,,PNV J17224490-4137160,VVS,STD,,,,
2460079.736609,11.304,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.071,Z,16.376,15.755,,PNV J17224490-4137160,VVS,STD,,,,
2460079.736823,11.882,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.071,Z,16.762,16.389,,PNV J17224490-4137160,VVS,STD,,,,
2460079.737008,9.552,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.070,Z,17.463,16.728,,PNV J17224490-4137160,VVS,STD,,,,
2460079.737245,11.288,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.070,Z,16.385,15.753,,PNV J17224490-4137160,VVS,STD,,,,
2460079.737459,11.857,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.070,Z,16.763,16.386,,PNV J17224490-4137160,VVS,STD,,,,
2460079.737633,9.553,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.070,Z,17.463,16.724,,PNV J17224490-4137160,VVS,STD,,,,
2460079.737870,11.297,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.070,Z,16.374,15.748,,PNV J17224490-4137160,VVS,STD,,,,
2460079.738084,11.857,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.069,Z,16.761,16.386,,PNV J17224490-4137160,VVS,STD,,,,
2460079.738258,9.548,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.069,Z,17.464,16.730,,PNV J17224490-4137160,VVS,STD,,,,
2460079.738484,11.284,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.069,Z,16.381,15.759,,PNV J17224490-4137160,VVS,STD,,,,
2460079.738698,11.849,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.069,Z,16.762,16.391,,PNV J17224490-4137160,VVS,STD,,,,
2460079.738872,9.552,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.069,Z,17.469,16.734,,PNV J17224490-4137160,VVS,STD,,,,
2460079.739097,11.291,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.069,Z,16.379,15.753,,PNV J17224490-4137160,VVS,STD,,,,
2460079.739311,11.866,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.068,Z,16.761,16.398,,PNV J17224490-4137160,VVS,STD,,,,
2460079.739497,9.534,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.068,Z,17.479,16.732,,PNV J17224490-4137160,VVS,STD,,,,
2460079.739734,11.294,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.068,Z,16.373,15.756,,PNV J17224490-4137160,VVS,STD,,,,
2460079.739948,11.870,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.068,Z,16.759,16.390,,PNV J17224490-4137160,VVS,STD,,,,
2460079.740122,9.554,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.068,Z,17.472,16.729,,PNV J17224490-4137160,VVS,STD,,,,
2460079.740359,11.291,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.067,Z,16.378,15.750,,PNV J17224490-4137160,VVS,STD,,,,
2460079.740573,11.854,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.067,Z,16.770,16.394,,PNV J17224490-4137160,VVS,STD,,,,
2460079.740747,9.544,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.067,Z,17.474,16.730,,PNV J17224490-4137160,VVS,STD,,,,
2460079.745660,11.302,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.063,Z,16.379,15.783,,PNV J17224490-4137160,VVS,STD,,,,
2460079.745874,11.865,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.063,Z,16.761,16.414,,PNV J17224490-4137160,VVS,STD,,,,
2460079.746047,9.555,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.063,Z,17.465,16.731,,PNV J17224490-4137160,VVS,STD,,,,
2460079.746285,11.306,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.063,Z,16.374,15.791,,PNV J17224490-4137160,VVS,STD,,,,
